heart_rate,body_temperature,skin_conductance,ecg_sigmoid,hydration_state,combined_metrics
64.0,36.67999999999999,0.9650119844156624,0.996563981652246,Dehydrated,25.660393991516976
64.0,36.67999999999999,1.4850707614285783,0.9993481213227844,Dehydrated,25.79110472068784
66.94365148568744,36.31760840931104,0.723186,0.002731960763011,Hydrated,25.99679446394037
64.0,36.67999999999999,1.4850707614285783,0.0234306676736703,Dehydrated,25.54712535727556
76.60000000000001,37.16,1.559881173860466,0.010456706231918,Slightly Dehydrated,28.832584470023097
97.0,36.2,0.6154643184502344,0.0087927162396749,Dehydrated,33.45606425867247
65.1415902445733,36.014532497993066,2.105280624705859,0.9998266457500028,Hydrated,26.06530750325556
83.82935133135726,37.18220815339644,2.365109756838624,0.9948315469697114,Hydrated,31.092875197140504
68.2,36.2,1.0504783620740166,0.1181569778092695,Slightly Dehydrated,26.39215883497082
81.4,37.75999999999999,1.4182480465733618,0.6558828412078138,Dehydrated,30.30853272194529
50.0,36.76232739700075,1.817322709879534,0.0003818884676828,Hydrated,22.14500799883699
71.2,35.36,1.9648020981167584,0.0178104316405254,Dehydrated,27.135653132439323
53.2,35.599999999999994,0.8096572251954397,0.0001935076471012,Slightly Dehydrated,22.40246268321064
82.0,37.75999999999999,2.137480458968102,0.057866955276361,Slightly Dehydrated,30.488836853561114
62.2097444005213,37.33562427746666,1.6896947590038192,0.6165665045213193,Hydrated,25.46290748537828
64.0,36.67999999999999,1.364037855189012,0.9991069727177018,Dehydrated,25.760786206976675
75.4,38.0,2.342615024425951,0.9965122340003246,Slightly Dehydrated,29.18478181460657
65.95363470329099,36.74506131644954,1.7048988839331756,0.987811511969723,Hydrated,26.347851603910858
64.0,36.67999999999999,2.3087195499877144,0.999791424317596,Slightly Dehydrated,25.997127743576325
80.8,37.52,1.834424674388362,7.119619380797805e-05,Dehydrated,30.03862396764553
76.0,36.08,0.7945511271041819,0.1449216314878228,Slightly Dehydrated,28.254868189648
64.0,36.67999999999999,1.2422258768602557,0.9987706013787226,Dehydrated,25.730249119559744
64.0,36.67999999999999,1.7279406126504653,0.0017350196733114,Dehydrated,25.602418908080946
64.0,36.67999999999999,2.083116405,0.8525823389461924,Dehydrated,25.903924685986546
56.82527669261139,36.3771753776804,0.5787836673856388,0.0675466911396291,Hydrated,23.462195607204265
